game,Black's method rank,Condorcet rank,Borda rank,Count of listings,QID,record ID
Wing Commander 3: Heart of the Tiger,1410,69,705,1,Q1636069,reckk2svVybFg3ifr
Wonder Boy in Monster Land,1411,69,705,1,Q864340,rec4ineyLdEkF800t
Nex Machina,1412,69,705,1,Q28924610,recu8brDssTOOZhxx
Donkey Kong ’94,1413,69,705,1,Q2564684,rec4ffCGU7eNDJmCY
Dragon Quest Builders 2,1414,69,705,1,Q52161838,rec55jxm197FE67r5
The House in Fata Morgana,1415,69,705,1,Q22129090,rec8n3lhV0Lrf5BjW
Celeste,1416,69,705,1,Q28451532,recmMsgmvmsaFLPvW
428: Shibuya Scramble,1417,69,705,1,Q1045444,recI99TfGMfgRkH2P
Killer Instinct (2013),1418,69,705,1,Q13522696,recZAtN5dTgdGnRWY
Super Bomberman 3,1419,69,705,1,Q369264,recvo9UckuoKs0P5t
Hi-Ten Bomberman,1420,69,705,1,Q74109447,rec9vtb4WreDseDbg
Bomberman 2,1421,69,705,1,Q2002828,receWbdDauSt3lq4C
Bomberman 93,1422,69,705,1,Q4940638,recjvnsLPu1GucduY
Bomber Man World,1423,69,705,1,Q4940632,recGwCAqkmKAnUOrJ
Bomberman (1990),1424,69,705,1,Q2583040,recXEW7LP2UwcFnzk
Vampire Killer,1425,69,705,1,Q2320111,rec2jUFkC7WZyfKUh
Castlevania 2: Belmont's Revenge,1426,69,705,1,Q2562585,rec4cUBh4Zhl3FX0j
Castlevania: The Adventure,1427,69,705,1,Q2563041,reccAxJ4ssf3Cp2Cq
Haunted Castle,1428,69,705,1,Q2247931,recjgsTNlCRM1P7ss
Castlevania 2: Simon's Quest,1429,69,705,1,Q2321832,recFjcZxqvMtodrdD
Castlevania: Bloodlines,1430,69,705,1,Q2421926,recTfmu2krTPAnLj3
Castlevania Chronicles,1431,69,705,1,Q617303,recY9aomDuZQccxQm
Castlevania: Dracula 10,1432,69,705,1,Q2561031,rec0QbDqhOP7axruG
Operation C,1433,69,705,1,Q2639874,rechR67RXAetycYsr
Contra Force,1434,69,705,1,Q2995918,recRcDB8im3W2rBNX
Donkey Kong 3,1435,69,705,1,Q390291,recJ0sao3O5Akrvrl
Pitfall 2: Lost Caverns,1436,69,705,1,Q3905832,recOG4leyNFRP8Z6s
Super Pitfall,1437,69,705,1,Q1058037,recg13UqlOobJwbB1
Pitfall: The Mayan Adventure,1438,69,705,1,Q2083777,reczRlLyKAUHIgfBO
Road Rash (1994),1439,69,705,1,Q932493,reca8A1jY5vckRQzo
Road Rash 3,1440,69,705,1,Q3434076,recsRVPIVbgKSN4YX
The Cyber Shinobi,1441,69,705,1,Q7728537,recrlDhT4v8Wvnfu9
Shinobi Legions,1442,69,705,1,Q3482282,recAQlmq7Yv7F7jUq
Shadow Dancer: The Secret of Shinobi,1443,69,705,1,Q7460497,rec3cTktQNwvaopNK
Shinobi 3: Return of the Ninja Master,1444,69,705,1,Q2638825,recLYl0wEd9wPw4au
Shadow Dancer,1445,69,705,1,Q2651563,recO0qf3mTpsYvyAD
Super Mario Land,1446,69,705,1,Q647249,rec7ag5w9YdtfJX0N
Ultima 8,1447,69,705,1,Q1395352,recF7mpkR6q2Y1cIS
Wonder Boy 3: Monster Lair,1448,69,705,1,Q3569784,reccnoQ8g0jOSGMbN
Wonder Boy in Monster World,1449,69,705,1,Q1584992,reciMPfgYMIv7TdG7
Monster World IV,1450,69,705,1,Q2745596,recKwg21AdnmmeXUp
Super Street Fighter 4,1451,69,714,1,Q1302248,recf8oP410e5jC20Y
Dark Souls 3,1452,69,717,1,Q20112508,recTB2RbqRQsoRa93
Space Dungeon,1453,69,726,1,Q7572335,recF9jH2ZAfFR2lZB
Teenage Mutant Ninja Turtles: Turtles in Time,1454,69,728,1,Q2297364,recDJzNJJIa7kwmKA
The King of Fighters '98,1455,69,736,1,Q198096,recZCRToQkQ9NfGFH
Gran Turismo 2,1456,69,750,1,Q980535,rec1dcCf9UpO04UDY
Football Manager (1982),1457,70,643,1,Q3747839,reczuJRk0uAz6zHLF
Madden NFL 2004,1458,70,659,1,Q1158895,recLPMm0TBhlMAquq
Warioware,1459,70,667,1,Q1755601,recUpcOEeXafL8ELG
Star Wars: X-Wing Alliance,1460,70,672,1,Q55313,recDFcQfleFzRfdBW
Ultra Street Fighter 4,1461,70,673,1,Q16302647,recDIn3DRQv3ZWynE
Assassin's Creed: Revelations,1462,70,674,1,Q739654,recnbT7OIeMWqClfv
Assassins Creed 3,1463,70,674,1,Q40166,recbc9ybHHZpMQsIu
Assassin's Creed Rogue,1464,70,674,1,Q17486360,recVDyCWKX5GLt63c
Rave Racer,1465,70,677,1,Q3130896,recpVIcgptboMcqnp
Ridge Racer 2,1466,70,677,1,Q3278829,recyUWLTRVJLe0sui
Pocket Racer,1467,70,677,1,Q108390533,rec9eCcD39TND8Fks
Rage Racer,1468,70,677,1,Q2037482,recnHr02440dMygl2
Ridge Racer Revolution,1469,70,677,1,Q2698346,recBMrLx1sobb4Vjh
Streets of Rage,1470,70,678,1,Q1143285,rec4JyiwUeIwkJ7G2
Disco Elysium,1471,70,682,1,Q71693825,recDQ8xbhXXDmQ57t
Max Payne 3,1472,70,683,1,Q736040,recEYpKf7q643Zjs0
Call of Duty: Black Ops 2,1473,70,689,1,Q380918,recwgvUMKFw4qh33h
Super Smash Bros. for Wii U,1474,70,700,1,Q1195150,recLF4uoToxewAhFk
Kinect Sports,1475,70,702,1,Q1741985,reckBrnkI2T35BL5m
Project Gotham Racing 2,1476,70,704,1,Q3175136,recAKKjQx1Pw8v93s
Icewind Dale,1477,70,709,1,Q1137949,recMZp869iFJ2YlIv
Last Ninja 2,1478,70,720,1,Q1890670,recH89esqedDicK58
Pro Evolution Soccer,1479,70,732,1,Q2020857,recPBqieK1nW3KoJS
Pro Evolution Soccer 2009,1480,70,732,1,Q1441569,recszgVEEheaBaiCz
Pro Evolution Soccer 2011,1481,70,732,1,Q1318106,recwE2EAMmjGzPegy
Pro Evolution Soccer 2010,1482,70,732,1,Q613088,rec4u29SJ7hFW0XtI
Pro Evolution Soccer 2008,1483,70,732,1,Q1764451,reconrab0g76Frtoh
Pro Evolution Soccer 2012,1484,70,732,1,Q1315644,recQplqBv88IwOnzv
Pro Evolution Soccer 2,1485,70,732,1,Q1988611,recR7rAGMCs0ZcILI
Pro Evolution Soccer 2013,1486,70,732,1,Q1987250,recUFgNDORoCAOkxf
Haunted House,1487,70,733,1,Q2075966,recRJ1EwkTzqGOyaC
XCOM: Enemy Within,1488,70,735,1,Q15975625,rect4fhVfSnbLoWSC
Blades Of Steel,1489,70,745,1,Q2710703,recgO9cq6z38cODea
International Superstar Soccer Deluxe,1490,70,748,1,Q2529207,reczb0Ss2kBsVQnlp
Persona 5,1491,70,749,1,Q15225985,recKh7izhEsIquL6Q
Twisted Metal,1492,70,762,1,Q1967293,recbFcnoQWnIu8pH8
The Nomad Soul,1493,70,765,1,Q738740,recyk9jesYqlGwBcG
Habitat,1494,71,644,1,Q5636885,recbJp5d1ZW5pf6mv
Tetris Attack,1495,71,662,1,Q2316943,rectzmd1yBdls4IRH
Virtua Fighter 4 Evolution,1496,71,671,1,Q16682759,recBWxsNYFkF6ZQgh
Mario Kart 8 Deluxe,1497,71,674,1,Q28321447,recxXr4Aui9jlwPTR
SimCity (2013),1498,71,679,1,Q917647,recAmGUzwGKZg95yN
Resident Evil 3: Nemesis,1499,71,684,1,Q739784,recGavPjGTOs2fCKT
Outer Wilds,1500,71,687,1,Q19631660,recPUXxGF0w4uaYSg
Arkanoid: Revenge of Doh,1501,71,690,1,Q2459946,recwpGtwhp9Rw7Ggc
Unreal,1502,71,691,1,Q588147,recvUZsTO068FJgw9
Boom Blox,1503,71,692,1,Q1196435,recpQW3tsSAzPRVvV
Danganronpa: Trigger Happy Havoc,1504,71,702,1,Q1035512,recYK1cu1Gp77hNOq
Super Monkey Ball 2,1505,71,708,1,Q3504240,rec5x43860GULtXv1
Super Monkey Ball Deluxe,1506,71,708,1,Q4050405,recrzFnycbOqy3ghJ
Donkey Kong Country 2: Diddy's Kong Quest,1507,71,713,1,Q1072051,recPnkMCi7RhFMMw5
Wii Fit Plus,1508,71,721,1,Q1151487,rec63jmhBYDq3ZjOp
Dance Central 2,1509,71,721,1,Q2735538,recnFX6Ug4mcKXnpO
Swordquest,1510,71,737,1,Q798003,recYfhLPI3okrG1Ba
Excitebike,1511,71,747,1,Q146124,recOaILkqNjvXpLsP
Clive Barker's Undying,1512,71,753,1,Q1101863,recERp7Yx4JQX1O4g
FIFA Football 2005,1513,71,753,1,Q1988471,recrgblMw8WIKusPr
FIFA 06,1514,71,753,1,Q1750568,recs0j097tzIqXGAl
FIFA Football 2004,1515,71,753,1,Q1313999,rec7DudYjhtU7PsZS
FIFA 97,1516,71,753,1,Q427337,rec8R90ZeTFmQCTyC
FIFA 2000,1517,71,753,1,Q2562672,rec84JDIs2yPC3RO2
FIFA Football 2002,1518,71,753,1,Q2420183,rec9vfuzfIUmX1w8Q
FIFA Soccer 96,1519,71,753,1,Q633461,reca7j8mLxseaXyxG
FIFA 99,1520,71,753,1,Q2420155,recjpkSfS3WyfCxNN
FIFA 2001,1521,71,753,1,Q2420170,recEUvNZ0yiAD48Jv
FIFA 08,1522,71,753,1,Q842259,recJjo47d4dm5sAJw
FIFA 07,1523,71,753,1,Q725280,recO0K1MgLWLA66h0
FIFA 09,1524,71,753,1,Q719740,recQSEZuIrsiE7ZKK
DecAthlete,1525,71,760,1,Q5248669,recV8TLnHTdx2vbeM
Dragon Quest 9,1526,71,771,1,Q2221461,recLfL9oVj8tKQUhC
Colin McRae Rally 2.0,1527,71,783,1,Q2630066,recNvBNskJnFEC4pQ
