game,Black's method rank,Condorcet rank,Borda rank,Count of listings,QID,record ID
Homeworld 2,1666,80,653,1,Q1331028,rec6fJVRzotw4rIGp
Battlefield 4,1667,80,743,1,Q2618557,recUJ4aychHdoQDZR
Wizard of Wor,1668,80,758,1,Q488692,recupzjKEsZ3fcNJ0
Brian Lara International Cricket 2005,1669,80,775,1,Q4964440,recXYrkXzVoy4ynBJ
Barbarian,1670,80,785,1,Q490786,recZ8Y9K9N6ThfReX
Oddworld: Munch’s Oddysee,1671,80,794,1,Q1091127,recXb44d2zbRm50nU
Dead Rising 2,1672,80,801,1,Q1900280,recQu6oDMimiX3fuW
Spacewar,1673,81,654,1,Q782919,reccbWyPPTTkqyNdg
Counter-Strike: Global Offensive,1674,81,746,1,Q842146,recVAG0M22JkyvM1U
Kaboom!,1675,81,759,1,Q644479,recI0Uh4gRaFdkTiB
Marvel vs. Capcom 3: Fate of Two Worlds,1676,81,798,1,Q788134,recV5SzS81paojfBb
Marvel Super Heroes vs. Street Fighter,1677,81,798,1,Q2415700,recsBHFOztvWLxHuU
X-Men vs. Street Fighter,1678,81,798,1,Q2608244,rec9khmoiYX8tHXlY
Marvel vs. Capcom Origins,1679,81,798,1,Q6778221,recRVZ5OLMpS0Z0ra
Darkest Dungeon,1680,81,802,1,Q16259390,recCSlT6biN2FCy8M
Superhot VR,1681,82,656,1,Q76430527,rectPevK9SCpXNrAN
Tearaway,1682,82,753,1,Q7691755,recBDAEQF26O8eIHU
River Raid,1683,82,762,1,Q88972,recACeUB5jtdjUSrm
Jak 3,1684,82,800,1,Q960458,recXvho3jVSc0Yqq1
Mortal Kombat 10,1685,82,808,1,Q17118361,recqdGxrPQUlSNj6K
P.T.,1686,83,657,1,Q18182633,recDo9ZExiJFQZwlY
Puzzle and Dragons,1687,83,755,1,Q11280991,rec48cvmGDtxGpnp2
Yars' Revenge,1688,83,766,1,Q1507926,recNrk5Yz000WWYps
X-COM: Terror from the Deep,1689,83,806,1,Q966207,recvjEXwADQNIrB9t
XCOM: Enemy Unknown,1690,83,806,1,Q26097,recfor8QbSwRzG7ZV
X-COM: Interceptor,1691,83,806,1,Q675511,rec0skP5fykNWkyR7
X-COM: First Alien Invasion,1692,83,806,1,Q4053272,recK8tRtaoJTp1vGa
X-COM: Enforcer,1693,83,806,1,Q968045,rec8ULahV69dqo0s3
The Bureau: XCOM Declassified,1694,83,806,1,Q4053292,rechVXtnqDoyrG001
Mario's Picross,1695,83,814,1,Q1621156,recfIjDHsvEMEIE1i
Bushido Blade 2,1696,84,661,1,Q4035523,recOGFvhDKdDioNco
Elite Dangerous,1697,84,764,1,Q4980843,recgrCA3zpYAwIJaF
Super Breakout,1698,84,771,1,Q55641905,rectjfDfcaI4tegq0
Mortal Kombat 3,1699,84,812,1,Q925253,rec58AEBpSP0UXbYY
Mortal Kombat 4,1700,84,812,1,Q925269,rec7lgPLeLaeR7LRu
Mortal Kombat: Deadly Alliance,1701,84,812,1,Q775543,recCdqL5R3mG5zyFA
Mortal Kombat: Deception,1702,84,812,1,Q1317811,rec3S5GKwaunAk7Pz
Mortal Kombat: Armageddon,1703,84,812,1,Q1299648,rec4fwAfo2AcH5t2Q
Mortal Kombat vs. DC Universe,1704,84,812,1,Q631367,recGSeCuX9TgbJDJQ
Mortal Kombat (2011),1705,84,812,1,Q2074880,recKOiaRjPMPXxGkx
Phoenix Wright: Ace Attorney - Trials and Tribulations,1706,84,815,1,Q645003,rec6eNDML3PHggADU
Mini Metro,1707,85,664,1,Q16267881,rec4KkOBSyA3dHBJV
Resogun,1708,85,772,1,Q15726993,recsFDrYhr8uwWfhK
Star Blade,1709,85,777,1,Q16069489,recFdumwdUNtHcuie
Rainbow Six: Vegas,1710,85,816,1,Q1325327,rech3o7tCwczG30KP
Super Mario 3D Land,1711,86,666,1,Q1050298,recSqkf5C78bbQ3cb
Hyper Light Drifter,1712,86,778,1,Q16457556,rec4fUL07QSfvqsI3
Turmoil,1713,86,779,1,Q7855606,reczrnm1xfRINmR5F
Axiom Verge,1714,86,817,1,Q4830546,recLom9BtBMC601Sw
Tony Hawk's Underground,1715,87,668,1,Q2334495,recvB9OJwNtyWStQh
Crossbow,1716,87,781,1,Q5188515,recynhrFyeZ8csUGF
Pyre,1717,87,818,1,Q23947160,recDMCIPVRNWLxkZB
Zero Escape: Virtue's Last Reward,1718,88,670,1,Q5931905,recgvs7TGgCsq13mW
Need for Speed: Hot Pursuit,1719,88,819,1,Q837931,recULgaSh13U1ZalC
Monster Hunter Generations,1720,89,685,1,Q20856979,recLehPKXsiLtRJr9
Darksiders,1721,89,820,1,Q1166313,recHtibhkVMZaCtXb
Shantae and the Pirate's Curse,1722,90,688,1,Q15710823,recs1FfdRPZoP4r7G
NCAA Football 11,1723,90,821,1,Q6952957,reclcbjkKmOgd1VYh
Jackbox Party Pack,1724,91,701,1,Q54802474,recnd2dsY5zpvcNlX
Rayman Legends,1725,91,822,1,Q2255492,recJ01hKRXRCvmbvl
Star Control,1726,92,707,1,Q614831,recdzCnsDbndNO1x0
The Room,1727,92,823,1,Q7761479,recQIGQiKRuvsF9pQ
King's Quest,1728,93,709,1,Q1742194,reccMzRfAh2iJXONV
Baseball Stars,1729,93,824,1,Q1115561,recCh9G61jtWIJrcm
Demon Attack,1730,94,725,1,Q1186437,recZO37hMHCG6DbAS
Shadowrun Returns,1731,94,826,1,Q7460767,rec6adX22wB6Rqd6P
Event[0],1732,95,727,1,Q26963091,recVgyzLUgi08eVGn
Tom Clancy's Splinter Cell: Blacklist,1733,95,827,1,Q1955277,rec6xc5dpdo4gvCMy
MVP Baseball 2005,1734,96,734,1,Q3841700,recvgsgjlTFD4rY49
Heroes of the Storm,1735,96,831,1,Q15139655,recMk9fFYc65ScC84
Shadow Hearts: Covenant,1736,97,738,1,Q2003195,reczFhlcFzIst50Z2
Ace Combat 5: The Unsung War,1737,97,832,1,Q1112104,recti9KXlRXMacaVR
Tenchu: Stealth Assassins,1738,98,741,1,Q13515808,reczzJXJFj4vhMnHz
Wasteland,1739,99,746,1,Q737653,recTWukbED8GoxS0N
Kirby's Dream Land,1740,100,757,1,Q1154044,rec14odquln8vZoVr
Tennis for Two,1741,101,761,1,Q858294,recJPkBDRdecTzZhI
NBA 2K12,1742,102,767,1,Q2412291,rec7l42qoeAutB3Oe
Proteus,1743,103,769,1,Q10354645,recEvzaeIlQ99S5tK
Thief: Deadly Shadows,1744,104,776,1,Q795360,recytvuhDDdVUYmzE
The Legend of Zelda: A Link Between Worlds,1745,105,780,1,Q11300470,recWZwOpvaPl1roMe
Microsoft Flight Simulator,1746,106,782,1,Q6013466,recfRXKXGKnAVFGTv
Split and Second,1747,107,787,1,Q187351,reca1svVJQ1AS7Agu
Computer Space,1748,108,792,1,Q1122324,rec4VubslU8YJh6Ib
Stubbs the Zombie in Rebel Without a Pulse,1749,109,793,1,Q2634205,rec7VObF1yrrojq3I
Gran Trak 10,1750,110,795,1,Q1341807,rece741OniiT1lY2k
Gunpoint,1751,111,797,1,Q15729139,recvOE3S7Ul5z2Jp5
Panzer Dragoon 2 Zwei,1752,112,799,1,Q1915270,rec8WLwTUuWEmMqnb
Hot Shots Golf,1753,113,803,1,Q3735497,recRSbnYwtQA6owy5
Dishonored 2,1754,114,804,1,Q20095751,recYN5PDNDndwgfce
Quadrilateral Cowboy,1755,115,805,1,Q7268403,recl3ooPTes5ThwEF
Threes,1756,116,807,1,Q15967616,rec0qMuAiqm3GFhcj
Pool of Radiance,1757,117,809,1,Q1133627,recB4GizHhHVMiNDA
Fruit Ninja,1758,118,810,1,Q1987120,rechMuKMmBqTMrcAo
Bastion,1759,119,811,1,Q810662,rech6tMpLo88WKpSn
Hitman,1760,120,812,1,Q756856,recelZhCDtaykP0SH
Forza Motorsport 4,1761,121,813,1,Q31560,rec0gVR0ZmSc68Wju
I Have No Mouth,1762,122,814,1,Q3147102,recjVPz3YlQKuFGNf
Balance of Power,1763,123,815,1,Q804628,recvBQzn4Z1ColXKe
Hunt the Wumpus,1764,124,821,1,Q1638078,rechm9GTv3RQKThg2
Jumpman Junior,1765,125,825,1,Q28126690,receYtUSXJwLjZflz
Koronis Rift,1766,126,826,1,Q1784639,rechrjdFF6SEEub4S
Pillars of Eternity,1767,127,828,1,Q2617930,rec8ojjfU5uS8mq1y
Stephen's Sausage Roll,1768,128,829,1,Q23886905,recaFVo66OfkoWFD5
Syberia,1769,129,830,1,Q580202,recr2XokHil1A4t5O
Uridium,1770,130,831,1,Q1665169,recIDyqM3KaMmcAff
Tiger Woods PGA Tour 12,1771,131,833,1,Q3991252,reckdamcG2BJ9B73e
Metal Gear Solid: Peace Walker,1772,132,834,1,Q2005935,recJ29OKnZ2URmeA4
Power Stone,1773,133,835,1,Q2713448,recex9bMzdbPBUWrX
Metro 2033,1774,134,836,1,Q162751,recP4walqeelcEE9f
Military Madness,1775,135,837,1,Q6852071,recT5ZqrABCDGuJEJ
Fallout 4,1776,136,838,1,Q10493813,recfujzNl9xQKwjSR
Kim Kardashian: Hollywood,1777,137,839,1,Q20800523,recBGWfbYtYViq1Iu
WWF No Mercy,1778,138,840,1,Q2484974,recyZ0uQC5z3DV3Yy
Need for Speed: Most Wanted (2012),1779,139,841,1,Q1880781,receWHegJf5e11xON
Mario Paint,1780,140,842,1,Q1809250,receZxqOFZv4HV7ip
Jetpack Joyride,1781,141,843,1,Q2648481,recYcXzmPx1RoG0lC
Wolfenstein: The New Order,1782,142,844,1,Q12956031,recQqDEv2FPGbY5eh
Sonic Colors,1783,143,845,1,Q151614,recNYrMhWMyGWmuF0
Hitman Go,1784,144,846,1,Q20712110,recYnIuQOEscvWxT2
Professor Layton and the Unwound Future,1785,145,847,1,Q225861,rec8L0w7D4ZIEmDED
Cities: Skylines,1786,146,848,1,Q18149274,recuu8xVIz2hVhnv9
Electroplankton,1787,147,849,1,Q2703818,rechFJDRwIhkbPhA9
Picross 3D,1788,148,850,1,Q1991432,reczY1uKcGypmayEg
River City Ransom,1789,149,851,1,Q1194412,recQmbjOjA3cx9EDG
Depression Quest,1790,150,852,1,Q18149194,recsqmKxFxiQRuFtN
Monument Valley,1791,151,853,1,Q15553298,rec3DNeB6mtJTepvu
QWOP,1792,152,854,1,Q636984,recSX5FMN171Q1wBx
Catherine,1793,153,855,1,Q277377,rec4t6gryjRn6HMWn
